,colour2,colour1,sub_category,category_id,type,brand,buyer,month,user_id,price_id,price
0,0,4,3,12,8,0,0,11,3323,511,212.14
1,0,3,5,16,23,1,0,11,3929,449,54.66
2,0,1,5,16,8,0,0,11,3445,2120,88.9
3,0,1,4,17,2,0,0,11,4176,1704,417.67
4,0,1,3,15,8,1,0,11,3458,2622,102.27
5,0,1,3,15,8,0,0,11,3174,2622,150.55
6,0,3,3,15,11,0,0,11,3454,2171,83.42
7,0,1,5,16,18,2,0,11,3435,2616,60.27
8,0,1,3,15,8,1,0,11,3571,541,217.4
9,0,3,6,14,8,1,0,11,4249,541,180.71
10,0,1,1,18,11,1,0,11,4255,541,232.1
11,0,4,6,14,8,1,0,11,3817,1851,203.92
12,0,3,3,15,11,0,0,11,3393,2577,84.45
13,0,1,6,14,2,0,0,11,3828,541,254.45
14,0,1,3,15,19,0,0,11,3731,2249,251.15
15,0,3,6,14,8,1,0,11,4186,2249,154.88
16,0,3,6,14,8,1,0,11,4186,2249,154.88
17,0,4,3,15,27,0,0,11,3633,1779,2171.1
18,0,4,3,15,12,1,0,11,3401,2444,102.6
19,0,4,5,16,12,1,0,11,3300,2444,61.51
20,0,4,0,13,12,0,0,11,85,2444,335.48
21,0,1,3,15,8,2,0,11,3387,2236,616.3
22,0,3,3,15,11,1,0,11,260,295,67.41
23,2,1,5,16,11,4,0,11,3838,2507,1.03
24,0,1,5,16,23,1,0,11,3256,2124,58.53
25,0,1,3,15,12,2,0,11,3670,533,225.89
26,0,1,3,15,27,1,0,11,3492,1791,109.45
27,0,1,3,15,8,0,0,11,3345,2640,37.26
28,0,1,0,13,18,1,0,11,3392,2424,130.71
29,2,1,5,16,11,4,0,11,3838,2168,1.03
30,2,1,5,16,11,0,0,11,3902,2168,1.05
31,0,4,3,12,8,0,0,11,3305,511,505.36
32,0,1,0,13,11,1,0,11,3444,105,168.74
33,0,1,3,15,8,1,0,11,3737,502,1246.44
34,2,1,5,16,11,4,0,11,3838,408,1.03
35,0,1,6,14,27,1,0,11,3449,1104,147.92
36,0,1,6,14,27,0,0,11,3351,1104,82.05
37,0,3,6,14,8,0,0,11,3439,1722,211.6
38,0,1,3,15,8,1,0,11,3466,428,1424.07
39,0,1,2,22,11,6,0,11,395,17,292.47
40,0,1,2,22,11,6,0,11,3519,17,296.3
41,0,1,3,15,8,1,0,11,3443,1505,103.95
42,0,1,6,14,8,1,0,11,4004,533,472.47
43,0,1,6,14,8,1,0,11,4684,246,257.51
44,0,1,0,13,8,0,0,11,4277,880,200.56
45,0,1,3,15,11,1,0,11,266,683,68.36
46,0,4,3,12,8,0,0,11,3323,511,212.14
47,0,1,3,15,2,1,0,11,3599,2249,141.62
48,0,1,3,15,2,1,0,11,3599,2249,141.62
49,0,1,5,16,27,1,0,11,3925,2249,71.63
50,0,1,3,15,8,1,0,11,3583,2249,175.96
51,0,1,3,15,11,1,0,11,3591,2249,72.86
52,0,1,6,14,2,0,0,11,3828,2249,254.45
53,2,1,0,13,8,5,0,11,4227,2249,152.77
54,0,3,3,15,27,0,0,11,3399,157,109.55
55,0,1,3,15,20,1,0,11,4243,109,212.84
56,0,1,3,15,20,1,0,11,4243,109,212.84
57,0,3,3,15,8,0,0,11,3457,311,107.73
58,0,1,3,15,11,1,0,11,3747,109,264.64
59,2,1,6,14,11,3,0,11,4071,109,244.82
60,0,1,5,16,11,1,0,11,3723,109,247.85
61,0,1,5,16,11,1,0,11,3723,109,247.85
62,0,1,5,16,11,1,0,11,3723,109,247.85
63,0,1,6,14,8,1,0,11,3372,109,157.4
64,0,1,6,14,11,1,0,11,4659,1851,81.33
65,0,1,1,18,11,1,0,11,4255,1842,232.1
66,0,1,6,14,22,2,0,11,3316,481,174.21
67,0,1,6,14,8,0,0,11,3343,481,112.29
68,0,1,3,15,8,1,0,11,3466,2657,1424.07
69,0,3,3,15,11,0,0,11,3394,2686,257.4
70,0,1,3,15,8,1,0,11,3815,295,180.68
71,0,3,3,15,8,0,0,11,3325,1811,161.51
72,0,1,3,15,0,2,0,11,3791,1129,132.84
73,0,1,3,12,8,1,0,11,19,2471,634.51
74,0,1,3,15,14,2,0,11,3686,179,116.4
75,0,1,0,13,8,1,0,11,536,533,812.58
76,0,1,6,14,12,1,0,11,3557,31067,157.4
77,2,1,5,16,11,1,0,11,3534,752,13.32
78,0,1,2,22,11,6,0,11,3519,284,296.3
79,0,1,5,16,8,1,0,11,3602,1831,232.74
80,0,1,3,15,8,1,0,11,277,1831,636.85
81,0,1,3,15,20,1,0,11,4151,246,153.48
82,0,3,6,14,18,1,0,11,3987,533,180.78
83,0,4,3,15,12,1,0,11,4007,2428,212.19
84,0,4,6,14,12,1,0,11,4006,2428,116.3
85,0,1,0,13,8,1,0,11,4822,1831,588.9
86,2,1,5,16,8,4,0,11,3995,1445,248.26
87,0,1,3,15,8,0,0,11,3174,2520,150.55
88,0,1,6,14,11,2,0,11,3381,2727,171.25
89,0,3,6,14,27,0,0,11,4057,533,130.0
90,0,3,3,15,11,0,0,11,3979,295,77.0
91,0,1,6,14,8,0,0,11,3630,1831,76.44
92,0,3,3,12,8,0,0,11,3324,961,288.89
93,0,1,5,16,18,0,0,11,3364,1421,57.49
94,0,4,0,13,12,0,0,11,85,538,335.48
95,0,3,6,14,8,1,0,11,4059,1831,200.85
96,0,1,6,14,8,1,0,11,4145,1851,150.55
97,0,1,6,14,11,2,0,11,3381,541,171.25
98,2,1,5,16,11,0,0,11,3811,2168,0.99
99,2,1,5,16,11,4,0,11,3838,2168,1.03
100,0,1,4,17,2,0,0,11,4176,80,417.67
101,2,1,5,16,11,4,0,11,3994,1445,1.07
102,0,3,5,16,23,1,0,11,3929,502,54.66
103,0,1,6,14,18,1,0,11,4848,2696,205.34
104,0,1,6,14,18,1,0,11,4848,2696,205.34
105,0,1,3,15,18,1,0,11,3199,2696,239.59
106,0,1,5,16,18,2,0,11,3432,979,45.21
107,0,1,3,15,27,1,0,11,3277,1831,228.73
108,0,1,0,13,8,1,0,11,4834,533,275.38
109,0,4,3,12,8,0,0,11,3305,511,505.36
110,0,1,3,12,8,0,0,11,3368,511,453.27
111,0,1,3,15,27,1,0,11,3638,1057,266.99
112,2,1,5,16,11,0,0,11,3902,1445,1.05
