,colour2,colour1,sub_category,category_id,type,user_id,brand,buyer,month,price_id,price,date
0,0,0,3,11,8,2783,0,0,11,1343,561.51,2018-12-01
2,0,2,5,12,23,2784,1,0,11,422,54.66,2018-12-02
3,0,0,5,12,8,2313,0,0,11,1342,88.9,2018-12-02
4,0,0,4,13,2,3027,0,0,11,1049,417.67,2018-12-02
5,0,0,3,11,8,2326,1,0,11,1666,102.27,2018-12-02
6,0,0,3,11,8,2087,0,0,11,1666,150.55,2018-12-02
7,0,2,3,11,11,2322,0,0,11,1388,83.42,2018-12-02
8,0,0,5,12,18,2303,2,0,11,1660,60.27,2018-12-03
9,0,0,3,11,8,2434,1,0,11,513,217.4,2018-12-03
10,0,2,6,10,8,3100,1,0,11,513,180.71,2018-12-03
11,0,0,1,14,11,3106,1,0,11,513,232.1,2018-12-03
12,0,3,6,10,8,2678,1,0,11,1145,203.92,2018-12-03
13,0,2,3,11,11,2264,0,0,11,1626,84.45,2018-12-03
14,0,0,6,10,2,2686,0,0,11,513,254.45,2018-12-04
15,0,0,3,11,19,2594,0,0,11,1458,251.15,2018-12-04
16,0,2,6,10,8,3037,1,0,11,1458,154.88,2018-12-04
17,0,2,6,10,8,3037,1,0,11,1458,154.88,2018-12-04
18,0,3,3,11,27,2496,0,0,11,1104,2171.1,2018-12-04
19,0,3,3,11,12,2271,1,0,11,1544,102.6,2018-12-04
20,0,3,5,12,12,2196,1,0,11,1544,61.51,2018-12-04
21,0,3,0,9,12,81,0,0,11,1544,335.48,2018-12-04
22,0,0,3,11,8,2258,2,0,11,1449,616.3,2018-12-05
23,0,2,3,11,11,209,1,0,11,286,67.41,2018-12-05
24,2,0,5,12,11,2696,4,0,11,1586,1.03,2018-12-05
25,0,0,5,12,23,2163,1,0,11,1346,58.53,2018-12-05
26,0,0,3,11,12,2533,2,0,11,505,225.89,2018-12-05
27,0,0,3,11,27,2358,1,0,11,1112,109.45,2018-12-05
28,0,0,3,11,8,2229,0,0,11,1682,37.26,2018-12-05
29,0,0,0,9,18,2263,1,0,11,1529,130.71,2018-12-05
30,2,0,5,12,11,2696,4,0,11,1385,1.03,2018-12-06
31,2,0,5,12,11,2757,0,0,11,1385,1.05,2018-12-06
